pu,do,osrm_distance_m,osrm_duration_s
13,26,11368.2,906.1
13,27,25786.3,2080.9
13,28,23985.0,1799.1
13,29,16361.7,1235.7
13,30,28329.8,2355.3
13,31,24832.2,2136.1
13,32,26953.7,2035.4
13,33,6063.3,528.8
13,34,6128.8,764.4
13,35,15191.7,1260.2
13,36,10741.8,1149.5
13,37,10394.5,1115.9
13,38,32244.7,2328.1
13,39,16088.3,1397.0
13,40,5243.3,489.2
13,41,13605.4,1361.3
13,42,15758.6,1467.7
13,43,11069.7,1158.2
13,44,46165.6,2744.4
13,45,3582.1,435.2
13,46,34446.6,2608.4
13,47,21038.4,1674.2
13,48,7603.8,831.3
13,49,8484.1,932.7
13,50,6841.7,770.2
14,26,5517.3,561.3
14,27,21324.5,1556.3
14,28,30260.0,1985.6
14,29,9930.6,687.6
14,30,27155.9,2193.2
14,31,39812.1,2808.7
14,32,38638.7,2605.2
14,33,9185.8,708.8
14,34,12695.2,992.6
14,35,12988.9,1224.6
14,36,17016.9,1336.0
14,37,16669.5,1302.4
14,38,36842.4,2286.4
14,39,14970.9,1278.0
14,40,7711.6,693.0
14,41,27192.9,2107.4
14,42,28750.3,2191.5
14,43,21850.8,1921.4
14,44,35364.0,2101.5
14,45,12832.8,1021.8
14,46,44022.2,3082.4
14,47,31819.5,2437.4
14,48,18385.0,1594.5
14,49,14759.1,1119.2
14,50,17622.8,1533.4
15,26,36727.1,2204.9
15,27,36935.2,2370.0
15,28,10953.5,671.3
15,29,35761.7,2138.8
15,30,27637.0,1961.6
15,31,16872.2,1235.9
15,32,15698.8,1032.4
15,33,27202.5,1645.6
15,34,24631.4,1439.4
15,35,23281.9,1434.7
15,36,19837.5,1179.3
15,37,21215.1,1345.2
15,38,11786.1,683.8
15,39,27259.2,1626.2
15,40,30625.9,1796.5
15,41,20980.9,1415.2
15,42,20281.1,1327.6
15,43,23852.2,1728.8
15,44,71524.4,4043.2
15,45,26512.5,1657.8
15,46,16308.7,1284.9
15,47,15194.4,899.2
15,48,26060.6,1590.3
15,49,25359.0,1518.1
15,50,26952.2,1653.2
16,26,34648.6,2194.8
16,27,34856.7,2359.9
